date,close,rsi_14,rsi_7,macd_hist,macd,momentum_5,momentum_10,momentum_20,volatility_20,volatility_60,vol_spike,price_vs_sma20,price_vs_sma50,price_vs_sma200,local_dd_20,local_dd_60,local_dd_120,below_sma50,negative_momentum_20,rsi_below_30,rsi_below_50,macd_bearish,return_5d,return_10d,vol_adjusted_return,will_have_drawdown
2015-07-17,7161.96,67.73321595293712,99.99999999706093,23.417983384894434,-3.456108310716445,0.025463465326147627,0.022107763526955315,0.013845983081417934,0.0648234637546805,0.05289205423551901,0,0.019734585724371357,0.006168713504923744,-0.0057656137186236555,0.0,-0.01753278910034204,-0.04683380697342515,0,0,0,0,0,0.025463465326147627,0.022107763526955315,0.34104043823052954,False
2021-07-12,7866.4702,65.68916588878956,98.59016228860271,-6.722148330678664,90.44469002391816,0.009271010147275938,-0.0014432382846881753,0.03366101293407642,0.08092694317919825,0.14262826812997506,0,0.013729143728496892,0.048511569177056235,0.13165004795374538,-0.001443238284688144,-0.001443238284688144,-0.10730124244755153,0,0,0,0,1,0.009271010147275938,-0.0014432382846881753,-0.017833621218970332,False
2025-08-19,20571.07,84.06064142923287,94.41276128583917,8.639800740942292,485.9605869145198,0.02995475344205789,0.03966596971732361,0.08018187279196454,0.08589001161751368,0.1318986182306012,0,0.04012375868229802,0.10280274990067508,0.2770652275529434,0.0,0.0,0.0,0,0,0,0,0,0.02995475344205789,0.03966596971732361,0.46181747042359306,False
2024-10-07,12164.64,96.0855553749921,89.82880974987663,117.12552441990152,265.1217816531971,0.02611460938587351,0.09622855577413691,0.1262325042263901,0.1525351081183728,0.14049721821704506,1,0.0766149480881818,0.07838490127809225,0.06916889416411304,0.0,0.0,-0.028303446689304308,0,0,0,0,0,0.02611460938587351,0.09622855577413691,0.63085755209816,False
2015-10-23,7081.4902,47.70539139708741,73.6313250573937,6.898152590587216,-27.671379084915316,0.008652933774703664,-0.0020532379651068133,-0.004121842946555709,0.04419874057421323,0.07957606314615072,0,0.001783612302751779,-0.01324504057434383,-0.013435983433571507,-0.0033846547904873912,-0.055647666837743394,-0.055647666837743394,1,1,0,1,0,0.008652933774703664,-0.0020532379651068133,-0.046453620279950286,False
2021-08-04,8210.3096,80.386537518246,70.64391974860175,4.515177134582785,125.54610934539869,0.013996527100227585,0.02340400554447175,0.05338573120303414,0.061927481462802234,0.09069859116511735,0,0.024236836742729903,0.057945582386954915,0.15181158828720312,-0.001488613665799894,-0.001488613665799894,-0.041643255804729294,0,0,0,0,0,0.013996527100227585,0.02340400554447175,0.3779199003697439,False
2023-12-15,10742.08,69.57775519816201,56.42106649848506,23.9832036688713,21.94494250697062,-0.0047953277054320065,0.0020353983951881816,0.012151951689938212,0.08060024073430111,0.12064747327543007,0,0.007922812941305113,0.002714533946758363,0.05415566643581108,-0.012167119259103224,-0.05235977596265226,-0.08377017831463411,0,0,0,0,0,-0.0047953277054320065,0.0020353983951881816,0.025252693093122402,False
2013-08-13,6142.8701,59.20728920539248,44.002753576438025,13.655551626612782,11.012894916216283,0.004692354340488647,0.014190413843841787,0.0189309700225595,0.09526870490832422,0.09626209044143315,0,0.010676995842748869,0.00032041870380194814,0.04926918091093905,-0.0022301269819359495,-0.05331915434446537,-0.05331915434446537,0,0,0,0,0,0.004692354340488647,0.014190413843841787,0.14894990865665939,True
2020-08-11,5196.3999,75.44373036396716,76.90806617091653,10.815903391307536,41.941712245832605,0.005726899078408287,0.017880049482087657,0.06488846028855777,0.09104626973459985,0.15448485804561318,0,0.023621239521404422,0.03395243749770448,-0.06995525292054833,0.0,0.0,-0.15588045808966855,0,0,0,0,0,0.005726899078408287,0.017880049482087657,0.19638205005166526,False
2015-06-29,7032.1499,41.1930495598706,34.23949660716076,-2.4740848070466797,-36.91454711985352,-0.0010653938912501548,-0.0066139987423593505,-0.02605713897918227,0.04545855970292173,0.06992696305016369,0,-0.005424032551075245,-0.01622922879445592,-0.02431067252849423,-0.0226595826192162,-0.03533994899701912,-0.07542174437586513,1,1,0,1,1,-0.0010653938912501548,-0.0066139987423593505,-0.14549192261389768,False
2012-09-27,5949.4199,82.5716790271372,61.92029875656878,0.2497283801722574,220.99621161663345,0.008039637340086836,0.029806670689131787,0.16332528696509252,0.15295438106447648,0.12733959395292643,0,0.04515086710383657,0.13587568549476245,0.02382426665191683,-0.003295293027757745,-0.003295293027757745,-0.003295293027757745,0,0,0,0,0,0.008039637340086836,0.029806670689131787,0.1948716709519827,False
2023-08-08,11724.22,89.628288658018,99.99999999849915,9.569160800567943,485.3003195279489,0.029639790914328223,0.05681490401949896,0.1370318826524426,0.11472875163580655,0.18238578747669995,0,0.05790017973317673,0.1785302752755242,0.28414776828373667,0.0,0.0,0.0,0,0,0,0,0,0.029639790914328223,0.05681490401949896,0.4952063715770071,False
2024-07-11,11802.26,16.82112517044594,11.483241925459254,-46.39524267465178,-107.11130473788035,-0.01042460585967997,-0.03171192546594048,-0.04782012732563723,0.059348806957867525,0.09719809186723115,0,-0.025744558029862627,-0.034391734601515005,0.05048305446256823,-0.04750275606374379,-0.05724991752516374,-0.05724991752516374,1,1,1,1,1,-0.01042460585967997,-0.03171192546594048,-0.5343223018139351,False
2016-01-29,6340.0498,23.012408575878354,68.74010359510913,-4.442671287216001,-139.2623599686076,-0.006610594192302588,-0.016467127409415583,-0.07722437501691082,0.12793465083088684,0.08889380641151767,1,-0.027353134077229925,-0.0601425223254238,-0.09999475816362688,-0.08041920371310468,-0.10190980072186617,-0.1545224731095585,1,1,1,1,1,-0.006610594192302588,-0.016467127409415583,-0.12871414107380308,False
