date,reference_price,forecast_day_1,day_1_change_pct,forecast_day_2,day_2_change_pct,forecast_day_3,day_3_change_pct,forecast_day_4,day_4_change_pct,forecast_day_5,day_5_change_pct,forecast_day_6,day_6_change_pct,forecast_day_7,day_7_change_pct,forecast_day_8,day_8_change_pct,forecast_day_9,day_9_change_pct,forecast_day_10,day_10_change_pct,avg_predicted_price,max_predicted_price,min_predicted_price,price_volatility
2025-08-14,19928.67,9964.335,-50.0,13974.9798375,-29.874999999999996,15530.661639375,-22.068749999999998,15881.343954281248,-20.3090625,16232.026269187498,-18.549375000000005,15420.424955728122,-22.62190625000001,14649.403707941716,-26.490810937500008,13916.933522544628,-30.166270390625016,13221.086846417396,-33.657956871093766,12560.032504096525,-36.97505902753909,14135.122823707212,16232.026269187498,9964.335,1791.5189639325984
2025-08-15,20218.36,10109.18,-50.0,14178.12495,-29.875000000000007,15756.420677499998,-22.06875000000001,16112.200631124999,-20.309062500000007,16467.98058475,-18.54937500000001,15644.5815555125,-22.621906250000006,14862.352477736873,-26.490810937500015,14119.234853850028,-30.166270390625016,13413.273111157527,-33.657956871093766,12742.60945559965,-36.97505902753908,14340.59582972316,16467.98058475,10109.18,1817.56109964269
2025-08-18,20470.52,10235.26,-50.0,14354.952149999997,-29.875000000000014,15952.932117499997,-22.06875000000002,16313.149299124996,-20.30906250000002,16673.366480749995,-18.549375000000023,15839.698156712495,-22.621906250000027,15047.71324887687,-26.49081093750003,14295.327586433024,-30.166270390625034,13580.561207111372,-33.657956871093795,12901.533146755803,-36.9750590275391,14519.449339326453,16673.366480749995,10235.26,1840.229417294858
2025-08-19,20571.07,10285.535,-50.0,14425.4628375,-29.875,16031.291989374999,-22.068750000000005,16393.278536781247,-20.309062500000017,16755.265084187497,-18.549375000000015,15917.50182997812,-22.62190625000002,15121.626738479214,-26.490810937500026,14365.545401555251,-30.166270390625034,13647.268131477487,-33.65795687109379,12964.904724903612,-36.9750590275391,14590.768027423741,16755.265084187497,10285.535,1849.2685168345379
2025-08-20,20714.8,10357.4,-50.0,14526.253499999999,-29.875,16143.302574999998,-22.068750000000005,16507.818321249997,-20.30906250000001,16872.334067499996,-18.549375000000015,16028.717364124996,-22.621906250000016,15227.281495918745,-26.49081093750002,14465.917421122807,-30.166270390625023,13742.621550066666,-33.65795687109377,13055.490472563331,-36.97505902753909,14692.713676754653,16872.334067499996,10357.4,1862.1893500203967
2025-08-21,20715.49,10357.745,-50.0,14526.7373625,-29.875000000000007,16143.840300625001,-22.06875,16508.36818871875,-20.309062500000014,16872.8960768125,-18.54937500000001,16029.251272971875,-22.621906250000006,15227.78870932328,-26.490810937500008,14466.399273857116,-30.166270390625012,13743.07931016426,-33.657956871093766,13055.925344656045,-36.97505902753908,14693.203083962882,16872.8960768125,10357.745,1862.251378649759
2025-08-22,20649.2,10324.6,-50.0,14480.251499999998,-29.875000000000007,16092.179674999998,-22.068750000000016,16455.541066249996,-20.30906250000002,16818.902457499997,-18.54937500000002,15977.957334624996,-22.62190625000002,15179.059467893745,-26.490810937500026,14420.106494499058,-30.166270390625026,13699.101169774103,-33.65795687109378,13014.146111285398,-36.975059027539096,14646.184527682728,16818.902457499997,10324.6,1856.2921354027635
2025-08-25,20575.59,10287.795,-50.0,14428.6324875,-29.875000000000007,16034.814481874999,-22.068750000000005,16396.880567156248,-20.30906250000001,16758.9466524375,-18.54937500000001,15920.999319815623,-22.621906250000013,15124.94935382484,-26.490810937500015,14368.701886133598,-30.166270390625016,13650.266791826918,-33.657956871093766,12967.75345223557,-36.97505902753909,14593.97399928053,16758.9466524375,10287.795,1849.6748493051427
2025-08-26,20613.39,10306.695,-50.0,14455.1397375,-29.875,16064.272494375,-22.068749999999998,16427.003741531247,-20.30906250000001,16789.734988687498,-18.54937500000001,15950.248239253122,-22.621906250000013,15152.735827290466,-26.490810937500015,14395.099035925941,-30.166270390625016,13675.344084129643,-33.657956871093766,12991.576879923161,-36.97505902753908,14620.785002861609,16789.734988687498,10306.695,1853.0729394354253
2025-08-27,20753.21,10376.605,-50.0,14553.188512499999,-29.875,16173.235968124998,-22.068750000000005,16538.427610343748,-20.309062500000007,16903.619252562497,-18.54937500000001,16058.438289934371,-22.621906250000016,15255.516375437652,-26.49081093750002,14492.740556665769,-30.166270390625016,13768.10352883248,-33.657956871093766,13079.698352390855,-36.97505902753909,14719.957344679238,16903.619252562497,10376.605,1865.6422770548977
