,Average,Std Dev,Median,Min,Max,Range (±1 std),Range (95%)
Max Drawdown,-12.44%,9.99%,-10.66%,-46.05%,-5.05%,-22.43% to -2.45%,-39.20% to -5.08%
Days to Trough,87.5,61.3,78.5,8,195,26.2 to 148.7 days,9.9 to 182.6 days
Total Duration,138.2,140.8,112.0,11,561,-2.6 to 279.0 days,11.8 to 458.2 days
