date,close,rsi_7,rsi_14,rsi_21,macd,macd_hist,macd_acceleration,momentum_5,momentum_10,momentum_20,volatility_10,volatility_20,volatility_60,vol_regime,vol_spike,price_vs_sma20,price_vs_sma50,price_vs_sma200,local_dd_20,local_dd_60,local_dd_120,below_sma50,negative_momentum_10,rsi_oversold,rsi_below_50,macd_bearish,return_5d,return_10d,consecutive_red_days,extreme_moves,will_have_drawdown
2015-07-17,7161.96,99.99999999706093,67.73321595293712,60.98359378632774,-3.456108310716445,23.417983384894434,6.030156277900325,0.025463465326147627,0.022107763526955315,0.013845983081417934,0.07347990731912624,0.0648234637546805,0.05289205423551901,0,0,0.019734585724371357,0.006168713504923744,-0.0057656137186236555,0.0,-0.01753278910034204,-0.04683380697342515,0,0,0,0,0,0.025463465326147627,0.022107763526955315,0.0,0,False
2021-07-12,7866.4702,98.59016228860271,65.68916588878956,71.15813663335567,90.44469002391816,-6.722148330678664,1.5183374690978297,0.009271010147275938,-0.0014432382846881753,0.03366101293407642,0.08937976120430434,0.08092694317919825,0.14262826812997506,0,0,0.013729143728496892,0.048511569177056235,0.13165004795374538,-0.001443238284688144,-0.001443238284688144,-0.10730124244755153,0,1,0,0,1,0.009271010147275938,-0.0014432382846881753,1.0,0,False
2025-08-19,20571.07,94.41276128583917,84.06064142923287,88.3332613392391,485.9605869145198,8.639800740942292,14.690316685534071,0.02995475344205789,0.03966596971732361,0.08018187279196454,0.09253073111904121,0.08589001161751368,0.1318986182306012,0,0,0.04012375868229802,0.10280274990067508,0.2770652275529434,0.0,0.0,0.0,0,0,0,0,0,0.02995475344205789,0.03966596971732361,1.0,0,False
2024-10-07,12164.64,89.82880974987663,96.0855553749921,83.1845178569837,265.1217816531971,117.12552441990152,-6.059559636450018,0.02611460938587351,0.09622855577413691,0.1262325042263901,0.1586499746539814,0.1525351081183728,0.14049721821704506,1,1,0.0766149480881818,0.07838490127809225,0.06916889416411304,0.0,0.0,-0.028303446689304308,0,0,0,0,0,0.02611460938587351,0.09622855577413691,2.0,0,False
2015-10-23,7081.4902,73.6313250573937,47.70539139708741,44.68329468019031,-27.671379084915316,6.898152590587216,2.401218192829269,0.008652933774703664,-0.0020532379651068133,-0.004121842946555709,0.04256938960408553,0.04419874057421323,0.07957606314615072,0,0,0.001783612302751779,-0.01324504057434383,-0.013435983433571507,-0.0033846547904873912,-0.055647666837743394,-0.055647666837743394,1,1,0,1,0,0.008652933774703664,-0.0020532379651068133,1.0,0,False
2021-08-04,8210.3096,70.64391974860175,80.386537518246,85.16722021492325,125.54610934539869,4.515177134582785,-0.5581016512528691,0.013996527100227585,0.02340400554447175,0.05338573120303414,0.07480446611118856,0.061927481462802234,0.09069859116511735,0,0,0.024236836742729903,0.057945582386954915,0.15181158828720312,-0.001488613665799894,-0.001488613665799894,-0.041643255804729294,0,0,0,0,0,0.013996527100227585,0.02340400554447175,2.0,0,False
2023-12-15,10742.08,56.42106649848506,69.57775519816201,54.255500232840376,21.94494250697062,23.9832036688713,-8.55423992045053,-0.0047953277054320065,0.0020353983951881816,0.012151951689938212,0.0672799623390118,0.08060024073430111,0.12064747327543007,0,0,0.007922812941305113,0.002714533946758363,0.05415566643581108,-0.012167119259103224,-0.05235977596265226,-0.08377017831463411,0,0,0,0,0,-0.0047953277054320065,0.0020353983951881816,3.0,0,False
2013-08-13,6142.8701,44.002753576438025,59.20728920539248,58.044058422327275,11.012894916216283,13.655551626612782,-1.5357205911823772,0.004692354340488647,0.014190413843841787,0.0189309700225595,0.11447660730426493,0.09526870490832422,0.09626209044143315,0,0,0.010676995842748869,0.00032041870380194814,0.04926918091093905,-0.0022301269819359495,-0.05331915434446537,-0.05331915434446537,0,0,0,0,0,0.004692354340488647,0.014190413843841787,1.0,0,True
2020-08-11,5196.3999,76.90806617091653,75.44373036396716,65.54523883854658,41.941712245832605,10.815903391307536,0.3450858305176254,0.005726899078408287,0.017880049482087657,0.06488846028855777,0.08282450238944929,0.09104626973459985,0.15448485804561318,0,0,0.023621239521404422,0.03395243749770448,-0.06995525292054833,0.0,0.0,-0.15588045808966855,0,0,0,0,0,0.005726899078408287,0.017880049482087657,3.0,0,False
2015-06-29,7032.1499,34.23949660716076,41.1930495598706,21.391213588759854,-36.91454711985352,-2.4740848070466797,1.495084592271212,-0.0010653938912501548,-0.0066139987423593505,-0.02605713897918227,0.04276134686063607,0.04545855970292173,0.06992696305016369,0,0,-0.005424032551075245,-0.01622922879445592,-0.02431067252849423,-0.0226595826192162,-0.03533994899701912,-0.07542174437586513,1,1,0,1,1,-0.0010653938912501548,-0.0066139987423593505,3.0,0,False
2012-09-27,5949.4199,61.92029875656878,82.5716790271372,88.88085653147468,220.99621161663345,0.2497283801722574,-6.07652019405333,0.008039637340086836,0.029806670689131787,0.16332528696509252,0.16171252360216853,0.15295438106447648,0.12733959395292643,0,0,0.04515086710383657,0.13587568549476245,0.02382426665191683,-0.003295293027757745,-0.003295293027757745,-0.003295293027757745,0,0,0,0,0,0.008039637340086836,0.029806670689131787,0.0,0,False
2023-08-08,11724.22,99.99999999849915,89.628288658018,92.70589365597299,485.3003195279489,9.569160800567943,-3.7038510622885497,0.029639790914328223,0.05681490401949896,0.1370318826524426,0.13526025160898744,0.11472875163580655,0.18238578747669995,0,0,0.05790017973317673,0.1785302752755242,0.28414776828373667,0.0,0.0,0.0,0,0,0,0,0,0.029639790914328223,0.05681490401949896,0.0,0,False
