Date,ASI_Price,Predicted_Downturn,Downturn_Probability,Risk_Level,Actual_Downturn,Actual_Days_to_Drop,Actual_Max_Drop_Pct,Prediction_Correct,Predicted_Loss_1M_Portfolio,Actual_Loss_1M_Portfolio
2025-06-06,17394.45,False,0.0001,STABLE,False,,,True,0,0.0
2025-06-09,17500.24,False,0.0001,STABLE,False,,,True,0,0.0
2025-06-11,17657.6,False,0.0001,STABLE,True,8.0,-5.05,False,0,50528.0
2025-06-12,17661.45,False,0.0002,STABLE,True,7.0,-5.07,False,0,50735.0
2025-06-13,17427.08,False,0.0002,STABLE,False,,,True,0,0.0
2025-06-16,17360.19,False,0.0001,STABLE,False,,,True,0,0.0
2025-06-17,17281.95,False,0.0002,STABLE,False,,,True,0,0.0
2025-06-18,17071.44,False,0.0004,STABLE,False,,,True,0,0.0
2025-06-19,16818.21,False,0.0013,STABLE,False,,,True,0,0.0
2025-06-20,17087.95,False,0.0002,STABLE,False,,,True,0,0.0
2025-06-23,16765.4,False,0.0017,STABLE,False,,,True,0,0.0
2025-06-24,17191.2,False,0.0001,STABLE,False,,,True,0,0.0
2025-06-25,17535.62,False,0.0001,STABLE,False,,,True,0,0.0
2025-06-26,17740.46,False,0.0001,STABLE,False,,,True,0,0.0
2025-06-27,17872.74,False,0.0002,STABLE,False,,,True,0,0.0
2025-06-30,18026.72,False,0.0002,STABLE,False,,,True,0,0.0
2025-07-01,17996.73,False,0.0003,STABLE,False,,,True,0,0.0
2025-07-02,18141.79,False,0.0007,STABLE,False,,,True,0,0.0
2025-07-03,18100.92,False,0.0006,STABLE,False,,,True,0,0.0
2025-07-04,18148.34,False,0.0004,STABLE,False,,,True,0,0.0
2025-07-07,18042.2,False,0.0025,STABLE,False,,,True,0,0.0
2025-07-08,18032.12,False,0.0004,STABLE,False,,,True,0,0.0
2025-07-09,18161.49,False,0.0006,STABLE,False,,,True,0,0.0
2025-07-11,18541.26,False,0.0005,STABLE,False,,,True,0,0.0
2025-07-14,18838.39,False,0.0012,STABLE,False,,,True,0,0.0
