date,close
2012-02-23,5507.6021
2012-02-24,5566.2998
2012-02-27,5476.5898
2012-03-05,5464.8101
2012-03-06,5477.6699
2012-03-08,5456.5098
2012-03-09,5456.27
2012-03-13,5423.2598
2012-03-14,5418.0698
2012-03-15,5397.2002
2012-03-16,5449.0498
2012-03-19,5449.46
2012-03-20,5414.02
2012-03-21,5384.1001
2012-03-22,5349.7002
2012-03-23,5422.3301
2012-03-26,5430.96
2012-03-27,5425.0
2012-03-28,5416.5698
2012-03-29,5412.04
2012-03-30,5420.2002
2012-04-02,5398.7002
2012-04-03,5416.6499
2012-04-04,5400.9102
2012-04-05,5423.25
2012-04-09,5413.1201
2012-04-10,5392.3398
2012-04-11,5425.73
2012-04-16,5434.7998
2012-04-17,5434.7998
2012-04-18,5407.4702
2012-04-19,5518.7202
2012-04-20,5457.1299
2012-04-23,5455.0601
2012-04-24,5441.5298
2012-04-25,5440.0098
2012-04-26,5445.0098
2012-04-27,5440.52
2012-04-30,5419.2002
2012-05-02,5417.1699
2012-05-03,5389.4702
2012-05-04,5375.4399
2012-05-08,5295.6001
2012-05-09,5256.79
2012-05-10,5163.9399
2012-05-11,5108.5601
2012-05-14,5116.3101
2012-05-15,5125.8599
2012-05-16,5213.6802
2012-05-17,5221.5298
2012-05-18,5222.0898
2012-05-21,5207.7202
2012-05-22,5155.6099
2012-05-23,5048.1099
2012-05-24,5019.1201
2012-05-25,5009.6699
2012-05-28,4935.0098
2012-05-29,4813.2598
2012-05-30,4865.1201
2012-05-31,4832.1499
2012-06-01,4885.1802
2012-06-05,4885.1802
2012-06-06,4737.75
2012-06-07,4757.98
2012-06-08,4798.7002
2012-06-11,4811.4399
2012-06-12,4807.5498
2012-06-13,4844.79
2012-06-14,4923.02
2012-06-15,4991.21
2012-06-18,4998.1001
2012-06-19,5059.29
2012-06-20,5078.0601
2012-06-21,5042.0698
2012-06-22,5039.1499
2012-06-25,4990.4302
2012-06-26,4989.9902
2012-06-27,4995.6899
2012-06-28,4955.9102
2012-06-29,4965.77
2012-07-02,4952.9302
2012-07-04,4946.5801
2012-07-05,4924.6099
2012-07-06,4928.6401
2012-07-09,4925.0601
2012-07-10,4905.6001
2012-07-11,4868.3901
2012-07-12,4868.3901
2012-07-13,4867.52
2012-07-16,4880.1001
2012-07-17,4853.0298
2012-07-18,4822.6401
2012-07-19,4891.1099
2012-07-20,4888.2202
2012-07-23,4881.77
2012-07-24,4874.3599
2012-07-25,4883.8799
2012-07-26,4876.1899
2012-07-27,4933.0898
2012-07-30,4935.5098
2012-07-31,4944.8599
2012-08-02,4960.0498
2012-08-03,4931.4702
2012-08-06,4928.5
2012-08-07,4898.2202
2012-08-08,4889.8701
2012-08-09,4851.8799
2012-08-10,4854.2202
2012-08-13,4846.4502
2012-08-14,4908.1899
2012-08-15,4939.6602
2012-08-16,4908.7202
2012-08-17,4927.1299
2012-08-20,4949.46
2012-08-21,4945.1299
2012-08-22,5027.3999
2012-08-23,5038.1499
2012-08-24,5012.8398
2012-08-27,5073.1001
2012-08-28,5102.6499
2012-08-29,5114.1499
2012-08-30,5180.1499
2012-09-03,5250.9902
2012-09-04,5327.2202
2012-09-05,5372.1299
2012-09-06,5388.9199
2012-09-07,5496.8501
2012-09-10,5592.0298
2012-09-11,5590.8999
2012-09-12,5668.2998
2012-09-13,5777.2202
2012-09-14,5926.8999
2012-09-17,5969.0898
2012-09-18,5910.8101
2012-09-19,5849.1401
2012-09-20,5901.9702
2012-09-21,5910.0698
2012-09-24,5915.8999
2012-09-25,5926.29
2012-09-26,5943.7598
2012-09-27,5949.4199
2012-09-28,5971.9902
2012-10-01,5964.29
2012-10-02,5928.5298
2012-10-03,5890.6899
2012-10-04,5861.3501
2012-10-05,5879.6899
2012-10-08,5847.1699
2012-10-09,5833.3198
2012-10-10,5772.52
2012-10-11,5720.8599
2012-10-12,5738.2402
2012-10-15,5653.7998
2012-10-16,5608.1299
2012-10-17,5586.3999
2012-10-18,5625.3198
2012-10-19,5649.5298
2012-10-22,5553.8901
2012-10-23,5556.77
2012-10-24,5543.25
2012-10-25,5576.7202
2012-10-26,5550.8799
2012-10-30,5520.6201
2012-10-31,5513.6401
2012-11-01,5494.54
2012-11-02,5532.3198
2012-11-05,5539.3101
2012-11-06,5556.5898
2012-11-07,5570.8701
2012-11-08,5580.8398
2012-11-09,5589.4302
2012-11-12,5599.8799
2012-11-14,5574.96
2012-11-15,5558.25
2012-11-16,5556.3198
2012-11-19,5503.9302
2012-11-20,5433.9502
2012-11-21,5360.6001
2012-11-22,5406.6499
2012-11-23,5407.1099
2012-11-26,5384.8901
2012-11-28,5334.6802
2012-11-29,5363.6001
2012-11-30,5351.25
2012-12-03,5337.71
2012-12-04,5331.4502
2012-12-05,5323.21
2012-12-06,5387.3301
2012-12-07,5387.3999
2012-12-10,5404.8599
2012-12-11,5417.7798
2012-12-12,5516.6401
2012-12-13,5547.3599
2012-12-14,5522.7202
2012-12-17,5503.5098
2012-12-18,5507.79
