start_date,peak_date,peak_price,trough_date,trough_price,max_drawdown,recovery_date,recovery_price,days_to_trough,days_to_recovery,total_duration,peak_idx,trough_idx,recovery_idx,max_drawdown_pct
2022-09-20,2022-09-22,10001.19,2022-11-21,7777.02,-0.22239053552627236,,,60,,,2494,2533,,-22.239053552627237
2022-09-21,2022-09-22,10001.19,2022-11-21,7777.02,-0.22239053552627236,,,60,,,2494,2533,,-22.239053552627237
2023-04-17,2023-04-17,9405.9,2023-05-30,8532.6,-0.09284597965107,2023-06-23,9339.43,43,67.0,67.0,2629,2658,2676.0,-9.284597965107
2023-09-25,2023-09-27,11335.61,2023-11-28,10452.22,-0.07793052160404258,2024-03-13,11286.9,62,168.0,168.0,2739,2781,2849.0,-7.793052160404258
2023-09-26,2023-09-27,11335.61,2023-11-28,10452.22,-0.07793052160404258,2024-03-13,11286.9,62,168.0,168.0,2739,2781,2849.0,-7.793052160404258
2024-08-13,2024-08-15,11531.31,2024-09-12,10567.26,-0.08360281702599265,2024-09-25,11659.71,28,41.0,41.0,2951,2970,2977.0,-8.360281702599265
2024-08-14,2024-08-15,11531.31,2024-09-12,10567.26,-0.08360281702599265,2024-09-25,11659.71,28,41.0,41.0,2951,2970,2977.0,-8.360281702599265
2025-02-14,2025-02-18,17193.79,2025-04-07,14660.45,-0.14734040604194887,2025-06-03,17214.39,48,105.0,105.0,3072,3103,3138.0,-14.734040604194886
2025-02-17,2025-02-18,17193.79,2025-04-07,14660.45,-0.14734040604194887,2025-06-03,17214.39,48,105.0,105.0,3072,3103,3138.0,-14.734040604194886
2025-06-06,2025-06-12,17661.45,2025-06-23,16765.4,-0.05073479244342901,2025-06-25,17535.62,11,13.0,13.0,3144,3151,3153.0,-5.073479244342901
2025-06-09,2025-06-12,17661.45,2025-06-23,16765.4,-0.05073479244342901,2025-06-25,17535.62,11,13.0,13.0,3144,3151,3153.0,-5.073479244342901
2025-06-11,2025-06-12,17661.45,2025-06-23,16765.4,-0.05073479244342901,2025-06-25,17535.62,11,13.0,13.0,3144,3151,3153.0,-5.073479244342901
2025-11-17,2025-11-17,23223.68,2025-12-05,21497.08,-0.07434652905999388,,,18,,,3250,3263,,-7.434652905999388
