date,close
2/23/2012,5507.6021
2/24/2012,5566.2998
2/27/2012,5476.5898
3/5/2012,5464.8101
3/6/2012,5477.6699
3/8/2012,5456.5098
3/9/2012,5456.27
3/13/2012,5423.2598
3/14/2012,5418.0698
3/15/2012,5397.2002
3/16/2012,5449.0498
3/19/2012,5449.46
3/20/2012,5414.02
3/21/2012,5384.1001
3/22/2012,5349.7002
3/23/2012,5422.3301
3/26/2012,5430.96
3/27/2012,5425
3/28/2012,5416.5698
3/29/2012,5412.04
3/30/2012,5420.2002
4/2/2012,5398.7002
4/3/2012,5416.6499
4/4/2012,5400.9102
4/5/2012,5423.25
4/9/2012,5413.1201
4/10/2012,5392.3398
4/11/2012,5425.73
4/16/2012,5434.7998
4/17/2012,5434.7998
4/18/2012,5407.4702
4/19/2012,5518.7202
4/20/2012,5457.1299
4/23/2012,5455.0601
4/24/2012,5441.5298
4/25/2012,5440.0098
4/26/2012,5445.0098
4/27/2012,5440.52
4/30/2012,5419.2002
5/2/2012,5417.1699
5/3/2012,5389.4702
5/4/2012,5375.4399
5/8/2012,5295.6001
5/9/2012,5256.79
5/10/2012,5163.9399
5/11/2012,5108.5601
5/14/2012,5116.3101
5/15/2012,5125.8599
5/16/2012,5213.6802
5/17/2012,5221.5298
5/18/2012,5222.0898
5/21/2012,5207.7202
5/22/2012,5155.6099
5/23/2012,5048.1099
5/24/2012,5019.1201
5/25/2012,5009.6699
5/28/2012,4935.0098
5/29/2012,4813.2598
5/30/2012,4865.1201
5/31/2012,4832.1499
6/1/2012,4885.1802
6/5/2012,4885.1802
6/6/2012,4737.75
6/7/2012,4757.98
6/8/2012,4798.7002
6/11/2012,4811.4399
6/12/2012,4807.5498
6/13/2012,4844.79
6/14/2012,4923.02
6/15/2012,4991.21
6/18/2012,4998.1001
6/19/2012,5059.29
6/20/2012,5078.0601
6/21/2012,5042.0698
6/22/2012,5039.1499
6/25/2012,4990.4302
6/26/2012,4989.9902
6/27/2012,4995.6899
