additional_severity,days_to_trough
-0.0647941865494371,63.0
-0.046861184966173995,136.0
-0.07623068319654695,75.0
-0.014967143599453853,163.0
-0.009409093338353292,8.0
0.0,18.0
-0.4284433634698457,112.0
-0.12375258349410928,195.0
-0.27986683076221186,165.0
