date,close,rsi_14,macd_hist,momentum_10,momentum_20,volatility_20,price_vs_sma20,price_vs_sma50,local_dd_60,below_sma50,negative_momentum_20,rsi_below_50,macd_bearish,return_5d,return_10d,macd,will_have_drawdown
2015-07-17,7161.96,67.73321595293712,23.417983384894434,0.022107763526955315,0.013845983081417934,0.0648234637546805,0.019734585724371357,0.006168713504923744,-0.01753278910034204,0,0,0,0,0.025463465326147627,0.022107763526955315,-3.456108310716445,False
2021-07-12,7866.4702,65.68916588878956,-6.722148330678664,-0.0014432382846881753,0.03366101293407642,0.08092694317919825,0.013729143728496892,0.048511569177056235,-0.001443238284688144,0,0,0,1,0.009271010147275938,-0.0014432382846881753,90.44469002391816,False
2025-08-19,20571.07,84.06064142923287,8.639800740942292,0.03966596971732361,0.08018187279196454,0.08589001161751368,0.04012375868229802,0.10280274990067508,0.0,0,0,0,0,0.02995475344205789,0.03966596971732361,485.9605869145198,False
2024-10-07,12164.64,96.0855553749921,117.12552441990152,0.09622855577413691,0.1262325042263901,0.1525351081183728,0.0766149480881818,0.07838490127809225,0.0,0,0,0,0,0.02611460938587351,0.09622855577413691,265.1217816531971,False
2015-10-23,7081.4902,47.70539139708741,6.898152590587216,-0.0020532379651068133,-0.004121842946555709,0.04419874057421323,0.001783612302751779,-0.01324504057434383,-0.055647666837743394,1,1,1,0,0.008652933774703664,-0.0020532379651068133,-27.671379084915316,False
2021-08-04,8210.3096,80.386537518246,4.515177134582785,0.02340400554447175,0.05338573120303414,0.061927481462802234,0.024236836742729903,0.057945582386954915,-0.001488613665799894,0,0,0,0,0.013996527100227585,0.02340400554447175,125.54610934539869,False
2023-12-15,10742.08,69.57775519816201,23.9832036688713,0.0020353983951881816,0.012151951689938212,0.08060024073430111,0.007922812941305113,0.002714533946758363,-0.05235977596265226,0,0,0,0,-0.0047953277054320065,0.0020353983951881816,21.94494250697062,False
2013-08-13,6142.8701,59.20728920539248,13.655551626612782,0.014190413843841787,0.0189309700225595,0.09526870490832422,0.010676995842748869,0.00032041870380194814,-0.05331915434446537,0,0,0,0,0.004692354340488647,0.014190413843841787,11.012894916216283,True
2020-08-11,5196.3999,75.44373036396716,10.815903391307536,0.017880049482087657,0.06488846028855777,0.09104626973459985,0.023621239521404422,0.03395243749770448,0.0,0,0,0,0,0.005726899078408287,0.017880049482087657,41.941712245832605,False
2015-06-29,7032.1499,41.1930495598706,-2.4740848070466797,-0.0066139987423593505,-0.02605713897918227,0.04545855970292173,-0.005424032551075245,-0.01622922879445592,-0.03533994899701912,1,1,1,1,-0.0010653938912501548,-0.0066139987423593505,-36.91454711985352,False
2012-09-27,5949.4199,82.5716790271372,0.2497283801722574,0.029806670689131787,0.16332528696509252,0.15295438106447648,0.04515086710383657,0.13587568549476245,-0.003295293027757745,0,0,0,0,0.008039637340086836,0.029806670689131787,220.99621161663345,False
2023-08-08,11724.22,89.628288658018,9.569160800567943,0.05681490401949896,0.1370318826524426,0.11472875163580655,0.05790017973317673,0.1785302752755242,0.0,0,0,0,0,0.029639790914328223,0.05681490401949896,485.3003195279489,False
2024-07-11,11802.26,16.82112517044594,-46.39524267465178,-0.03171192546594048,-0.04782012732563723,0.059348806957867525,-0.025744558029862627,-0.034391734601515005,-0.05724991752516374,1,1,1,1,-0.01042460585967997,-0.03171192546594048,-107.11130473788035,False
2016-01-29,6340.0498,23.012408575878354,-4.442671287216001,-0.016467127409415583,-0.07722437501691082,0.12793465083088684,-0.027353134077229925,-0.0601425223254238,-0.10190980072186617,1,1,1,1,-0.006610594192302588,-0.016467127409415583,-139.2623599686076,False
2021-02-11,7597.8101,44.76727584240759,-141.3620787620651,-0.12324398187670704,0.05471966292993469,0.4314050951366702,-0.062369579551073195,0.051626885709665504,-0.13778919083816726,0,0,1,1,-0.0784389471769058,-0.12324398187670704,208.98578669962626,True
2015-12-03,6880.6602,31.86975756476663,-11.771535835494568,-0.014510230937393453,-0.017106140437313178,0.06470256228966746,-0.014655287648728728,-0.022092371632353388,-0.04212435875126158,1,1,1,1,-0.01187785494842497,-0.014510230937393453,-42.705811524977435,False
2019-02-08,5964.1401,42.178277365157555,-0.44715508378703994,0.0006375978765504886,-0.0030172562726570318,0.036538742951245685,-0.0015879576417367753,-0.006987011256659803,-0.017313608097462033,1,1,1,1,-0.004300539312852458,0.0006375978765504886,-9.330361404266114,False
2022-07-21,7736.3701,65.29492610823075,86.83131757498181,0.08697338072494154,0.029847673833026223,0.23527756432289404,0.04492815664346103,-0.00016556600552421186,-0.0984228550433178,1,0,0,0,0.05713530692802338,0.08697338072494154,-40.109485673086965,False
2019-07-15,5587.3599,94.65662664400955,18.48579143597828,0.03918596527564411,0.03759188930619772,0.07424608118964852,0.027745773947799347,0.04122793842824841,-0.003387266164487173,0,0,0,0,0.015034661645993319,0.03918596527564411,55.670725732104984,False
2021-08-20,8240.0596,54.08447896505743,4.957826053692045,0.017401828625803528,0.012695446656788345,0.18214894422983,0.01462667165068672,0.03927338336557507,-0.012320730317372504,0,0,0,0,0.030517556190314377,0.017401828625803528,75.58701848138207,False
2018-01-16,6447.6099,69.51631499514828,9.77996096538168,0.0123012881339839,0.01424718107798606,0.059784488893607046,0.005294392657787896,0.0010704867061966594,-0.02797899873427608,0,0,0,0,-0.014203770476729383,0.0123012881339839,22.585897251625283,False
2014-05-05,6249.4302,84.3238418062039,7.9197369221576395,0.011110349248647289,0.041254100145220685,0.04932426419170822,0.01843465537742423,0.038567886451884664,0.0,0,0,0,0,0.013233238163412375,0.011110349248647289,61.305085287012844,False
