date,close,returns,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,rsi_7,volatility_10,volatility_20,volatility_60,return_1d,momentum_1,return_3d,momentum_3,return_5d,momentum_5,return_7d,momentum_7,return_10d,momentum_10,return_20d,momentum_20,return_50d,momentum_50,price_vs_sma20,price_vs_sma50,price_vs_sma200,sma20_vs_sma50,sma50_vs_sma200,vol_regime,price_velocity,volume_proxy,drawdown_velocity,consecutive_down_days,fear_index,local_dd_20,local_recovery_20,local_dd_60,local_recovery_60,local_dd_120,local_recovery_120,local_dd_252,local_recovery_252,trend_strength,momentum_accel,will_have_downturn,additional_severity,days_to_trough,will_recover,days_to_recovery
2012-03-16,5449.0498,0.009606758704262974,5458.572899999999,,,,,5456.060891017276,5477.363935335005,-21.303044317729473,-13.072153130951225,-8.230891186778248,,44.57211816086472,0.12207370617856766,,,0.009606758704262974,0.009606758704262974,0.004755442473915794,0.004755442473915794,-0.001367174306183827,-0.001367174306183827,-0.0028839611462436743,-0.0028839611462436743,-0.010631178312609069,-0.010631178312609069,,,,,,,,,,,22.231839999999828,,-0.006049957205197076,0,0.0,,,,,,,,,,,False,,,,
2012-03-19,5449.46,7.52791798672714e-05,5446.88892,,,,,5455.04536932231,5475.296977162042,-20.25160783973206,-14.508044072707392,-5.743563767024668,,39.37316120172524,0.10387970781450541,,,7.52791798672714e-05,7.52791798672714e-05,0.00579361306862447,0.00579361306862447,-0.0012481053906790995,-0.0012481053906790995,-0.0051499817468007025,-0.0051499817468007025,-0.02099056899522367,-0.02099056899522367,,,,,,,,,,,22.265920000000005,,-0.006049957205197076,0,0.0,,,,,,,,,,-0.0103593906826146,False,,,,
2012-03-20,5414.02,-0.006503396666825645,5440.63194,,,,,5448.733774041954,5470.757941816706,-22.02416777475173,-16.01126881311626,-6.0128989616354716,,35.54861117555188,0.07465921565033672,,,-0.006503396666825645,-0.006503396666825645,0.003116393570133047,0.003116393570133047,-0.0017037354544584549,-0.0017037354544584549,-0.007786992337116216,-0.007786992337116216,-0.011424956457392388,-0.011424956457392388,,,,,,,,,,,22.7518799999998,,-0.006503396666825645,1,0.0,,,,,,,,,,0.00956561253783128,False,,,,
2012-03-21,5384.1001,-0.005526374117568955,5432.56094,,,,,5438.790131881654,5464.338842422876,-25.548710541222135,-17.918757158737435,-7.6299533824847,,29.577196153664644,0.07779779247372398,,,-0.005526374117568955,-0.005526374117568955,-0.01191945428724106,-0.01191945428724106,-0.0062697051263533865,-0.0062697051263533865,-0.013226966407454355,-0.013226966407454355,-0.0147690401904359,-0.0147690401904359,,,,,,,,,,,27.697860000000038,,-0.006503396666825645,2,0.0,,,,,,,,,,-0.0033440837330435125,False,,,,
2012-03-22,5349.7002,-0.006389164272781578,5419.76397,,,,,5425.083988515246,5455.847091132293,-30.76310261704657,-20.487626250399263,-10.275476366647307,30.531727722591057,29.346380710350118,0.07812696253778388,,,-0.006389164272781578,-0.006389164272781578,-0.018306364300315958,-0.018306364300315958,-0.008800859378905401,-0.008800859378905401,-0.013563724164569746,-0.013563724164569746,-0.0233620686051198,-0.0233620686051198,,,,,,,,,,,30.403919999999925,,-0.006503396666825645,3,0.0,,,,,,,,,,-0.008593028414683901,False,,,,
2012-03-23,5422.3301,0.013576443031330987,5416.346,,,,,5424.660313359054,5453.36435104842,-28.704037689365578,-22.13090853819253,-6.573129151173049,32.839041386259,50.86761070582258,0.11086322434342222,,,0.013576443031330987,0.013576443031330987,0.0015349222943394913,0.0015349222943394913,-0.004903552175280157,-0.004903552175280157,0.0007863132364960279,0.0007863132364960279,-0.006264022470920838,-0.006264022470920838,,,,,,,,,,,34.559979999999996,,-0.006503396666825645,0,0.0,,,,,,,,,,0.017098046134198963,False,-0.07258603065078939,75.0,True,160.0
2012-03-26,5430.96,0.0015915482533974679,5413.8150000000005,,,,,5425.6294959192,5451.704769489277,-26.075273570077115,-22.919781544569446,-3.1554920255076695,43.2577811409557,57.235915385582025,0.11139823639831405,,,0.0015915482533974679,0.0015915482533974679,0.008703385733857427,0.008703385733857427,-0.003394831781497576,-0.003394831781497576,0.0062550579465256995,0.0062550579465256995,-0.004638700064329759,-0.004638700064329759,,,,,,,,,,,36.203919999999925,,-0.006503396666825645,0,0.0,,,,,,,,,,0.0016253224065910787,False,,,,
2012-03-27,5425.0,-0.0010974118756168494,5413.98902,,,,,5425.532650393169,5449.7266384159975,-24.193988022828307,-23.17462284022122,-1.0193651826070855,44.014759045069475,43.58294848329487,0.1071100079823971,,,-0.0010974118756168494,-0.0010974118756168494,0.014075517727142772,0.014075517727142772,0.0020280678682382813,0.0020280678682382813,-0.004413576840497924,-0.004413576840497924,0.0003208771226486107,0.0003208771226486107,,,,,,,,,,,30.307920000000014,,-0.006389164272781578,1,0.0,,,,,,,,,,0.00495957718697837,False,,,,
2012-03-28,5416.5698,-0.001553953917050599,5413.839019999999,,,,,5424.153750332682,5447.270576311109,-23.116825978427187,-23.163063467862415,0.046237489435227985,40.68991431209351,41.584301297626396,0.10730927725500831,,,-0.001553953917050599,-0.001553953917050599,-0.0010623292742726331,-0.0010623292742726331,0.0060306642515803865,0.0060306642515803865,-0.006035497095124964,-0.006035497095124964,-0.00027685136134647514,-0.00027685136134647514,,,,,,,,,,,26.009979999999814,,-0.006389164272781578,2,0.0,,,,,,,,,,-0.0005977284839950858,False,,,,
2012-03-29,5412.04,-0.0008362857245927113,5415.322999999999,5439.875565,,,,5422.290096435347,5444.660903991768,-22.370807556420914,-23.004612285574115,0.6338047291532014,42.86219659592477,49.39817482628644,0.10533370759922871,,,-0.0008362857245927113,-0.0008362857245927113,-0.0034837303165554667,-0.0034837303165554667,0.011652952066360633,0.011652952066360633,-0.00036571715656763537,-0.00036571715656763537,0.002749536694970134,0.002749536694970134,,,,,-0.005116948846972442,,,,,,20.035959999999978,,-0.001553953917050599,3,0.0,-0.027713167731281706,0.011652952066360604,,,,,,,,0.003026388056316609,False,,,,
