date,close,rsi_7,rsi_14,rsi_21,rsi_slope,macd,macd_hist,macd_acceleration,macd_divergence,momentum_3,momentum_5,momentum_10,momentum_20,momentum_acceleration,volatility_10,volatility_20,volatility_60,vol_regime,vol_spike,vol_cluster,price_vs_sma20,price_vs_sma50,price_vs_sma200,trend_strength,local_dd_10,local_dd_20,local_dd_60,local_dd_120,below_sma50,below_all_ma,negative_momentum_10,negative_momentum_20,rsi_oversold,rsi_below_50,macd_bearish,macd_declining,return_5d,return_10d,vol_adjusted_return_5,vol_adjusted_return_10,consecutive_red_days,extreme_moves,will_have_drawdown
2015-07-17,7161.96,99.99999999706093,67.73321595293712,60.98359378632774,6.384711400627156,-3.456108310716445,23.417983384894434,6.030156277900325,0.4637566860751968,0.01920592002276922,0.025463465326147627,0.022107763526955315,0.013845983081417934,0.00186655598152341,0.07347990731912624,0.0648234637546805,0.05289205423551901,0,0,1,0.019734585724371357,0.006168713504923744,-0.0057656137186236555,0.0259032992292951,0.0,0.0,-0.01753278910034204,-0.04683380697342515,0,0,0,0,0,0,0,0,0.025463465326147627,0.022107763526955315,0.3465317217105154,0.34104043823052954,3.0,0,False
2021-07-12,7866.4702,98.59016228860271,65.68916588878956,71.15813663335567,-0.8837010725973928,90.44469002391816,-6.722148330678664,1.5183374690978297,0.03744677581707294,0.007310478006070653,0.009271010147275938,-0.0014432382846881753,0.03366101293407642,-0.006954721679314768,0.08937976120430434,0.08092694317919825,0.14262826812997506,0,0,0,0.013729143728496892,0.048511569177056235,0.13165004795374538,0.06224071290555313,0.0,-0.001443238284688144,-0.001443238284688144,-0.10730124244755153,0,0,1,0,0,0,1,0,0.009271010147275938,-0.0014432382846881753,0.10372489585409203,-0.017833621218970332,4.0,0,False
2025-08-19,20571.07,94.41276128583917,84.06064142923287,88.3332613392391,0.9590863152922933,485.9605869145198,8.639800740942292,14.690316685534071,-0.6634918780943307,0.0322349660062613,0.02995475344205789,0.03966596971732361,0.08018187279196454,0.011732705848485958,0.09253073111904121,0.08589001161751368,0.1318986182306012,0,0,0,0.04012375868229802,0.10280274990067508,0.2770652275529434,0.1429265085829731,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.02995475344205789,0.03966596971732361,0.3237241223069887,0.46181747042359306,2.0,0,False
2024-10-07,12164.64,89.82880974987663,96.0855553749921,83.1845178569837,0.5706095364014659,265.1217816531971,117.12552441990152,-6.059559636450018,0.9627214309972572,0.01930664986345998,0.02611460938587351,0.09622855577413691,0.1262325042263901,-0.0028895775244237587,0.1586499746539814,0.1525351081183728,0.14049721821704506,1,0,1,0.0766149480881818,0.07838490127809225,0.06916889416411304,0.15499984936627403,0.0,0.0,0.0,-0.028303446689304308,0,0,0,0,0,0,0,1,0.02611460938587351,0.09622855577413691,0.16460415350633434,0.63085755209816,2.0,0,False
2015-10-23,7081.4902,73.6313250573937,47.70539139708741,44.68329468019031,1.9944618441857427,-27.671379084915316,6.898152590587216,2.401218192829269,0.87391542286754,0.005713523026092737,0.008652933774703664,-0.0020532379651068133,-0.004121842946555709,0.0003177230952189358,0.04256938960408553,0.04419874057421323,0.07957606314615072,0,0,0,0.001783612302751779,-0.01324504057434383,-0.013435983433571507,0.01502865287709561,-0.002607014084507016,-0.0033846547904873912,-0.055647666837743394,-0.055647666837743394,1,0,1,1,0,1,0,0,0.008652933774703664,-0.0020532379651068133,0.20326179429359115,-0.046453620279950286,5.0,0,False
2021-08-04,8210.3096,70.64391974860175,80.386537518246,85.16722021492325,-1.0006149573022616,125.54610934539869,4.515177134582785,-0.5581016512528691,0.9216242628764415,0.011062104703170261,0.013996527100227585,0.02340400554447175,0.05338573120303414,-0.00867848444021524,0.07480446611118856,0.061927481462802234,0.09069859116511735,0,0,0,0.024236836742729903,0.057945582386954915,0.15181158828720312,0.08218241912968482,-0.001488613665799894,-0.001488613665799894,-0.001488613665799894,-0.041643255804729294,0,0,0,0,0,0,0,1,0.013996527100227585,0.02340400554447175,0.18710567325953928,0.3779199003697439,4.0,0,False
2023-12-15,10742.08,56.42106649848506,69.57775519816201,54.255500232840376,-2.2871020515436093,21.94494250697062,23.9832036688713,-8.55423992045053,0.8751182116829231,-0.012167119259103187,-0.0047953277054320065,0.0020353983951881816,0.012151951689938212,-0.015890955449949118,0.0672799623390118,0.08060024073430111,0.12064747327543007,0,0,0,0.007922812941305113,0.002714533946758363,0.05415566643581108,0.010637346888063476,-0.012167119259103224,-0.012167119259103224,-0.05235977596265226,-0.08377017831463411,0,0,0,0,0,0,0,1,-0.0047953277054320065,0.0020353983951881816,-0.0712731735504846,0.025252693093122402,4.0,0,False
2013-08-13,6142.8701,44.002753576438025,59.20728920539248,58.044058422327275,-2.064858788470287,11.012894916216283,13.655551626612782,-1.5357205911823772,0.9892776021754311,-0.0014499682206317033,0.004692354340488647,0.014190413843841787,0.0189309700225595,0.0012239263534050693,0.11447660730426493,0.09526870490832422,0.09626209044143315,0,0,1,0.010676995842748869,0.00032041870380194814,0.04926918091093905,0.010997414546550817,-0.0022301269819359495,-0.0022301269819359495,-0.05331915434446537,-0.05331915434446537,0,0,0,0,0,0,0,1,0.004692354340488647,0.014190413843841787,0.0409892768637018,0.14894990865665939,5.0,0,True
2020-08-11,5196.3999,76.90806617091653,75.44373036396716,65.54523883854658,-2.9174705896923285,41.941712245832605,10.815903391307536,0.3450858305176254,0.9627566642923356,0.0037763890439865833,0.005726899078408287,0.017880049482087657,0.06488846028855777,0.0010103273779784594,0.08282450238944929,0.09104626973459985,0.15448485804561318,0,0,0,0.023621239521404422,0.03395243749770448,-0.06995525292054833,0.0575736770191089,0.0,0.0,0.0,-0.15588045808966855,0,0,0,0,0,0,0,0,0.005726899078408287,0.017880049482087657,0.06914415141703756,0.19638205005166526,6.0,0,False
2015-06-29,7032.1499,34.23949660716076,41.1930495598706,21.391213588759854,2.4255930750919656,-36.91454711985352,-2.4740848070466797,1.495084592271212,-0.8639312232973754,-0.003073535893641677,-0.0010653938912501548,-0.0066139987423593505,-0.02605713897918227,-0.0002299435460194621,0.04276134686063607,0.04545855970292173,0.06992696305016369,0,0,0,-0.005424032551075245,-0.01622922879445592,-0.02431067252849423,0.021653261345531166,-0.004529915198996556,-0.0226595826192162,-0.03533994899701912,-0.07542174437586513,1,1,1,1,0,1,1,0,-0.0010653938912501548,-0.0066139987423593505,-0.024914298897633226,-0.14549192261389768,5.0,0,False
